App Name,Link App,Rating,Review Count,Price Status,Description
Pixee ‑ Multi Facebook Pixels,https://apps.shopify.com/pixee-multi-facebook-pixels?search_id=cab69038-ebd2-459c-ae0e-39066618d3e6&surface_detail=facebook+pixel&surface_inter_position=1&surface_intra_position=12&surface_type=search,4.9,365 total reviews,Free plan available,Setup Unlimited Facebook Pixels with Conversion API Support
"Trackify Facebook Pixel,TikTok",https://apps.shopify.com/trackify-1?search_id=cab69038-ebd2-459c-ae0e-39066618d3e6&surface_detail=facebook+pixel&surface_inter_position=1&surface_intra_position=13&surface_type=search,4.9,881 total reviews,Free trial available,"Maximize Social Ads w/ Facebook Pixel, TikTok & Conversion API"
Zotek Multi Facebook Pixel,https://apps.shopify.com/facebook-multiple-pixel?search_id=cab69038-ebd2-459c-ae0e-39066618d3e6&surface_detail=facebook+pixel&surface_inter_position=1&surface_intra_position=14&surface_type=search,5.0,55 total reviews,Free plan available,"Boost your Ads with Multi Facebook, Tiktok Pixel and Catalog"
Orichi: Tiktok Facebook Pixels,https://apps.shopify.com/yuri-facebook-multi-pixels?search_id=cab69038-ebd2-459c-ae0e-39066618d3e6&surface_detail=facebook+pixel&surface_inter_position=1&surface_intra_position=15&surface_type=search,4.9,140 total reviews,Free plan available,Track Multi Pixel Facebook (Meta Pixel) with Conversion API
Avantify Pixel: Facebook Pixel,https://apps.shopify.com/avantify-multi-pixels?search_id=cab69038-ebd2-459c-ae0e-39066618d3e6&surface_detail=facebook+pixel&surface_inter_position=1&surface_intra_position=16&surface_type=search,5.0,54 total reviews,Free plan available,"Send Conversion API to your Meta Pixel, TikTok Pixel tracking"
Meta Pixels & Conversion API,https://apps.shopify.com/easy-pixels?search_id=cab69038-ebd2-459c-ae0e-39066618d3e6&surface_detail=facebook+pixel&surface_inter_position=1&surface_intra_position=17&surface_type=search,4.7,84 total reviews,Free,Easy Multi Facebook Pixel & Conversions API Setup
Pixelfy: Multi Facebook Pixels,https://apps.shopify.com/pixelfy-facebook-pixels?search_id=cab69038-ebd2-459c-ae0e-39066618d3e6&surface_detail=facebook+pixel&surface_inter_position=1&surface_intra_position=18&surface_type=search,4.9,76 total reviews,Free trial available,Track multi Facebook Pixels & Conversions API
MT Facebook Pixel Tiktok Pixel,https://apps.shopify.com/madgictracking-tiktok-pixels?search_id=cab69038-ebd2-459c-ae0e-39066618d3e6&surface_detail=facebook+pixel&surface_inter_position=1&surface_intra_position=19&surface_type=search,5.0,23 total reviews,Free plan available,"➜Setup Multi TikTok Pixels + Events API, auto-sync TikTok Shop"
OmniTrack Facebook Pixel,https://apps.shopify.com/omnitrack-facebook-pixels?search_id=cab69038-ebd2-459c-ae0e-39066618d3e6&surface_detail=facebook+pixel&surface_inter_position=1&surface_intra_position=20&surface_type=search,4.8,36 total reviews,Free trial available,Sync Multi Pixels for FB Conversion API & Google Ads fix IOS14
UpStack Facebook Pixel CAPI,https://apps.shopify.com/upstackified?search_id=cab69038-ebd2-459c-ae0e-39066618d3e6&surface_detail=facebook+pixel&surface_inter_position=1&surface_intra_position=21&surface_type=search,5.0,28 total reviews,Free trial available,UpStack Data Pixel for Facebook Pixel & Klaviyo Flows
"Facebook Pixel, Ads & Feed",https://apps.shopify.com/mulwi-facebook-pixel?search_id=cab69038-ebd2-459c-ae0e-39066618d3e6&surface_detail=facebook+pixel&surface_inter_position=1&surface_intra_position=22&surface_type=search,N/A,N/A,Free plan available,Track customer activity and take full advantage of Facebook ad
Lexus ‑ Multi Facebook Pixels,https://apps.shopify.com/tracking-app22?search_id=cab69038-ebd2-459c-ae0e-39066618d3e6&surface_detail=facebook+pixel&surface_inter_position=1&surface_intra_position=23&surface_type=search,5.0,10 total reviews,Free,Install Multiple Facebook Pixel Into Your Shop
Multi : Tiktok Facebook Pixels,https://apps.shopify.com/pix-multiple-tiktok-pixels?search_id=cab69038-ebd2-459c-ae0e-39066618d3e6&surface_detail=facebook+pixel&surface_inter_position=1&surface_intra_position=24&surface_type=search,5.0,2 total reviews,Free,Maximize your TikTok and Facebook ad success
Octopixels ‑ Facebook Pixel,https://apps.shopify.com/octopixels?search_id=cab69038-ebd2-459c-ae0e-39066618d3e6&surface_detail=facebook+pixel&surface_inter_position=1&surface_intra_position=25&surface_type=search,5.0,6 total reviews,Free plan available,Accuracy and efficiency when it comes to pixel tracking!
MultiPixels ‑ Social Pixels,https://apps.shopify.com/multipixel?search_id=cab69038-ebd2-459c-ae0e-39066618d3e6&surface_detail=facebook+pixel&surface_inter_position=1&surface_intra_position=26&surface_type=search,3.5,33 total reviews,Free trial available,"Unlimited multiple Facebook pixels, Catalog, Audience Builders"
XO Insert Code,https://apps.shopify.com/insert-code-to-header-and-footer?search_id=cab69038-ebd2-459c-ae0e-39066618d3e6&surface_detail=facebook+pixel&surface_inter_position=1&surface_intra_position=27&surface_type=search,4.9,133 total reviews,Free,Insert any code snippet to your store
δ Google Ads & TikTok Pixels,https://apps.shopify.com/shoptok?search_id=cab69038-ebd2-459c-ae0e-39066618d3e6&surface_detail=facebook+pixel&surface_inter_position=1&surface_intra_position=28&surface_type=search,5.0,467 total reviews,Free trial available,"Setup Google Ads Pixel, Google Tag Manager, FB & TikTok Pixels"
